description,true_class,true_image,pred_class,pred_image
 Description : Greca - print track jacket. Gender : men. Brand : versace. Materials : Spandex / Elastane Polyamide Polyester ,activewear~performance jackets~performance track jackets,"<img src=""../../datasets/fashion-outfits/images/16/17/95/59/16179559.jpg"" width=""160"" >",activewear~performance jackets~lightweight jackets,"<img src=""../../datasets/fashion-outfits/images/16/18/77/87/16187787.jpg"" width=""160"" >"
 Description : cropped button - up cardigan. Gender : women. Brand : roberto collina. Materials : viscose Polyester. ,clothing~tops~cardigans,"<img src=""../../datasets/fashion-outfits/images/17/97/10/99/17971099.jpg"" width=""160"" >",clothing~knitwear~cardigans,"<img src=""../../datasets/fashion-outfits/images/17/35/66/74/17356674.jpg"" width=""160"" >"
 Description : sequin one - shoulder dress. Gender : women. Brand : saiid kobeisy. Materials : Polyester. ,clothing~dresses~n/d,"<img src=""../../datasets/fashion-outfits/images/16/40/62/43/16406243.jpg"" width=""160"" >",clothing~dresses~evening dresses,"<img src=""../../datasets/fashion-outfits/images/18/23/78/36/18237836.jpg"" width=""160"" >"
 Description : notched - lapels single - breasted blazer. Gender : women. Brand : samuel gui yang. Materials : Wool Cotton Ace ,clothing~jackets~n/d,"<img src=""../../datasets/fashion-outfits/images/16/33/98/52/16339852.jpg"" width=""160"" >",clothing~jackets~blazers,"<img src=""../../datasets/fashion-outfits/images/16/70/19/25/16701925.jpg"" width=""160"" >"
 Description : all - over perforated shirt. Gender : women. Brand : comme des garçons tao. Materials : Cotton Polyester. ,clothing~tops~n/d,"<img src=""../../datasets/fashion-outfits/images/16/44/82/18/16448218.jpg"" width=""160"" >",clothing~tops~shirts,"<img src=""../../datasets/fashion-outfits/images/16/52/07/73/16520773.jpg"" width=""160"" >"
 Description : Tunisien love - print T - shirt. Gender : women. Brand : zadig & voltaire. Materials : Cotton. ,clothing~tops~n/d,"<img src=""../../datasets/fashion-outfits/images/16/44/82/18/16448218.jpg"" width=""160"" >",clothing~tops~t-shirts & jerseys,"<img src=""../../datasets/fashion-outfits/images/17/25/41/60/17254160.jpg"" width=""160"" >"
 Description : long - sleeve linen shirt. Gender : men. Brand : zegna. Materials : Linen / Flax. ,clothing~t-shirts & vests~n/d,"<img src=""../../datasets/fashion-outfits/images/16/27/78/49/16277849.jpg"" width=""160"" >",clothing~shirts~n/d,"<img src=""../../datasets/fashion-outfits/images/17/04/75/52/17047552.jpg"" width=""160"" >"
 Description : satin cropped top. Gender : women. Brand : ashley williams. Materials : Polyester Cotton. ,clothing~tops~n/d,"<img src=""../../datasets/fashion-outfits/images/16/44/82/18/16448218.jpg"" width=""160"" >",clothing~tops~vests & tank tops,"<img src=""../../datasets/fashion-outfits/images/16/54/93/35/16549335.jpg"" width=""160"" >"
 Description : basic Pony - detail hoodie. Gender : men. Brand : polo ralph lauren. Materials : Cotton Polyester. ,clothing~sweaters & knitwear~n/d,"<img src=""../../datasets/fashion-outfits/images/16/43/18/72/16431872.jpg"" width=""160"" >",clothing~sweaters & knitwear~hoodies,"<img src=""../../datasets/fashion-outfits/images/16/28/15/27/16281527.jpg"" width=""160"" >"
 Description : graphic - print short - sleeve T - shirt. Gender : men. Brand : aape by * a bathing ape®. Materials : Cotton. ,clothing~t-shirts & vests~n/d,"<img src=""../../datasets/fashion-outfits/images/16/27/78/49/16277849.jpg"" width=""160"" >",clothing~t-shirts & vests~t-shirts,"<img src=""../../datasets/fashion-outfits/images/18/19/56/34/18195634.jpg"" width=""160"" >"
 Description : Chrome Memory print hoodie. Gender : men. Brand : rhude. Materials : Cotton. ,clothing~sweaters & knitwear~n/d,"<img src=""../../datasets/fashion-outfits/images/16/43/18/72/16431872.jpg"" width=""160"" >",clothing~sweaters & knitwear~hoodies,"<img src=""../../datasets/fashion-outfits/images/16/28/15/27/16281527.jpg"" width=""160"" >"
 Description : contrast - stripe logo - detail T - shirt. Gender : men. Brand : jw anderson. Materials : Cotton. ,clothing~t-shirts & vests~n/d,"<img src=""../../datasets/fashion-outfits/images/16/27/78/49/16277849.jpg"" width=""160"" >",clothing~t-shirts & vests~t-shirts,"<img src=""../../datasets/fashion-outfits/images/18/19/56/34/18195634.jpg"" width=""160"" >"
 Description : zip - detail panelled vest. Gender : men. Brand : dsquared2. Materials : Cotton Polyamide. ,clothing~t-shirts & vests~n/d,"<img src=""../../datasets/fashion-outfits/images/16/27/78/49/16277849.jpg"" width=""160"" >",clothing~t-shirts & vests~vests & tanks,"<img src=""../../datasets/fashion-outfits/images/16/72/72/93/16727293.jpg"" width=""160"" >"
 Description : Aspen textured jacket. Gender : women. Brand : the upside. Materials : Cotton. ,activewear~performance jackets~performance track jackets,"<img src=""../../datasets/fashion-outfits/images/16/17/95/59/16179559.jpg"" width=""160"" >",clothing~jackets~faux fur & shearling jackets,"<img src=""../../datasets/fashion-outfits/images/17/28/20/81/17282081.jpg"" width=""160"" >"
 Description : Map two - tone wool cardigan. Gender : women. Brand : sofie d'hoore. Materials : Wool. ,clothing~tops~cardigans,"<img src=""../../datasets/fashion-outfits/images/17/97/10/99/17971099.jpg"" width=""160"" >",clothing~knitwear~cardigans,"<img src=""../../datasets/fashion-outfits/images/17/35/66/74/17356674.jpg"" width=""160"" >"
 Description : balloon - leg cargo trousers. Gender : women. Brand : nili lotan. Materials : Cotton Elastane. ,clothing~trousers~n/d,"<img src=""../../datasets/fashion-outfits/images/16/29/91/23/16299123.jpg"" width=""160"" >",clothing~trousers~tapered trousers,"<img src=""../../datasets/fashion-outfits/images/17/11/11/48/17111148.jpg"" width=""160"" >"
 Description : pomegranate - embroidered kaftan. Gender : women. Brand : shatha essa. Materials : Cupro Rayon. ,clothing~dresses~n/d,"<img src=""../../datasets/fashion-outfits/images/16/40/62/43/16406243.jpg"" width=""160"" >",clothing~tops~tunics & kaftans,"<img src=""../../datasets/fashion-outfits/images/16/90/66/99/16906699.jpg"" width=""160"" >"
 Description : wide - leg denim trousers. Gender : women. Brand : l'autre chose. Materials : Cotton Spandex / Elastane. ,clothing~trousers~n/d,"<img src=""../../datasets/fashion-outfits/images/16/29/91/23/16299123.jpg"" width=""160"" >",clothing~trousers~palazzo pants,"<img src=""../../datasets/fashion-outfits/images/17/09/17/60/17091760.jpg"" width=""160"" >"
 Description : panel detail fleece jacket. Gender : men. Brand : pas normal studios. Materials : Polyester. ,activewear~performance jackets~performance track jackets,"<img src=""../../datasets/fashion-outfits/images/16/17/95/59/16179559.jpg"" width=""160"" >",activewear~performance jackets~lightweight jackets,"<img src=""../../datasets/fashion-outfits/images/16/18/77/87/16187787.jpg"" width=""160"" >"
 Description : Persan fil coupé beach wrap. Gender : women. Brand : eres. Materials : Silk Polyester. ,clothing~dresses~beach dresses,"<img src=""../../datasets/fashion-outfits/images/15/65/44/64/15654464.jpg"" width=""160"" >",clothing~beachwear~beach cover-ups,"<img src=""../../datasets/fashion-outfits/images/16/99/77/87/16997787.jpg"" width=""160"" >"
 Description : stripe - print satin tracksuit. Gender : women. Brand : philipp plein. Materials : Polyester Fabric. ,activewear~performance jackets~performance track jackets,"<img src=""../../datasets/fashion-outfits/images/16/17/95/59/16179559.jpg"" width=""160"" >",clothing~all in one~jumpsuits,"<img src=""../../datasets/fashion-outfits/images/17/16/16/91/17161691.jpg"" width=""160"" >"
 Description : cropped crew neck shrug. Gender : women. Brand : alexander wang. Materials : Elastane Polyamide Cotton. ,clothing~tops~cardigans,"<img src=""../../datasets/fashion-outfits/images/17/97/10/99/17971099.jpg"" width=""160"" >",clothing~jackets~fitted jackets,"<img src=""../../datasets/fashion-outfits/images/17/81/04/47/17810447.jpg"" width=""160"" >"
 Description : short - sleeve T - shirt. Gender : men. Brand : rick owens. Materials : Cotton. ,clothing~t-shirts & vests~n/d,"<img src=""../../datasets/fashion-outfits/images/16/27/78/49/16277849.jpg"" width=""160"" >",clothing~t-shirts & vests~t-shirts,"<img src=""../../datasets/fashion-outfits/images/18/19/56/34/18195634.jpg"" width=""160"" >"
 Description : geometric - print maxi dress. Gender : women. Brand : mc2 saint barth. Materials : Cotton Silk. ,clothing~dresses~beach dresses,"<img src=""../../datasets/fashion-outfits/images/15/65/44/64/15654464.jpg"" width=""160"" >",clothing~dresses~day dresses,"<img src=""../../datasets/fashion-outfits/images/16/55/45/49/16554549.jpg"" width=""160"" >"
 Description : embroidered - logo striped T - shirt. Gender : men. Brand : pleasures. Materials : Polyester Spandex / Elastane. ,clothing~t-shirts & vests~n/d,"<img src=""../../datasets/fashion-outfits/images/16/27/78/49/16277849.jpg"" width=""160"" >",clothing~t-shirts & vests~t-shirts,"<img src=""../../datasets/fashion-outfits/images/18/19/56/34/18195634.jpg"" width=""160"" >"
 Description : zipped - up jacket. Gender : women. Brand : arma. Materials : viscose Polyester Spandex / Elastane Lamb ,clothing~jackets~n/d,"<img src=""../../datasets/fashion-outfits/images/16/33/98/52/16339852.jpg"" width=""160"" >",clothing~jackets~faux fur & shearling jackets,"<img src=""../../datasets/fashion-outfits/images/17/28/20/81/17282081.jpg"" width=""160"" >"
 Description : button - down shirt. Gender : men. Brand : roberto collina. Materials : Cotton. ,clothing~t-shirts & vests~n/d,"<img src=""../../datasets/fashion-outfits/images/16/27/78/49/16277849.jpg"" width=""160"" >",clothing~shirts~n/d,"<img src=""../../datasets/fashion-outfits/images/17/04/75/52/17047552.jpg"" width=""160"" >"
 Description : logo - applique T - shirt. Gender : men. Brand : acne studios. Materials : Cotton. ,clothing~t-shirts & vests~n/d,"<img src=""../../datasets/fashion-outfits/images/16/27/78/49/16277849.jpg"" width=""160"" >",clothing~t-shirts & vests~t-shirts,"<img src=""../../datasets/fashion-outfits/images/18/19/56/34/18195634.jpg"" width=""160"" >"
 Description : long - sleeved organic cotton hoodie. Gender : unisex. Brand : styland. Materials : Organic Cotton. ,clothing~sweaters & knitwear~n/d,"<img src=""../../datasets/fashion-outfits/images/16/43/18/72/16431872.jpg"" width=""160"" >",clothing~sweaters & knitwear~hoodies,"<img src=""../../datasets/fashion-outfits/images/16/28/15/27/16281527.jpg"" width=""160"" >"
 Description : buttoned V - neck cardigan. Gender : women. Brand : low classic. Materials : Rayon Nylon. ,clothing~tops~cardigans,"<img src=""../../datasets/fashion-outfits/images/17/97/10/99/17971099.jpg"" width=""160"" >",clothing~knitwear~cardigans,"<img src=""../../datasets/fashion-outfits/images/17/35/66/74/17356674.jpg"" width=""160"" >"
 Description : cotton chino trousers. Gender : men. Brand : incotex. Materials : Cotton Spandex / Elastane. ,clothing~trousers~n/d,"<img src=""../../datasets/fashion-outfits/images/16/29/91/23/16299123.jpg"" width=""160"" >",clothing~trousers~chinos,"<img src=""../../datasets/fashion-outfits/images/14/88/21/90/14882190.jpg"" width=""160"" >"
 Description : balloon sleeve sweatshirt. Gender : women. Brand : red valentino. Materials : Polyester Cotton. ,clothing~tops~n/d,"<img src=""../../datasets/fashion-outfits/images/16/44/82/18/16448218.jpg"" width=""160"" >",clothing~tops~sweatshirts,"<img src=""../../datasets/fashion-outfits/images/17/58/01/11/17580111.jpg"" width=""160"" >"
 Description : cropped - sleeve blazer. Gender : women. Brand : manuel ritz. Materials : Virgin Wool Polyester Spandex / Elast ,clothing~jackets~n/d,"<img src=""../../datasets/fashion-outfits/images/16/33/98/52/16339852.jpg"" width=""160"" >",clothing~jackets~fitted jackets,"<img src=""../../datasets/fashion-outfits/images/17/81/04/47/17810447.jpg"" width=""160"" >"
 Description : Beth broderie - anglaise beach dress. Gender : women. Brand : melissa odabash. Materials : Cotton. ,clothing~dresses~beach dresses,"<img src=""../../datasets/fashion-outfits/images/15/65/44/64/15654464.jpg"" width=""160"" >",clothing~beachwear~beach dresses,"<img src=""../../datasets/fashion-outfits/images/17/78/67/50/17786750.jpg"" width=""160"" >"
 Description : embroidered ribbed zip - up hoodie. Gender : men. Brand : doublet. Materials : Polyester Polyurethane. ,clothing~sweaters & knitwear~n/d,"<img src=""../../datasets/fashion-outfits/images/16/43/18/72/16431872.jpg"" width=""160"" >",clothing~jackets~hooded jackets,"<img src=""../../datasets/fashion-outfits/images/17/47/49/32/17474932.jpg"" width=""160"" >"
 Description : franc puff - sleeve midi - dress. Gender : women. Brand : sir.. Materials : Cotton Silk. ,clothing~dresses~beach dresses,"<img src=""../../datasets/fashion-outfits/images/15/65/44/64/15654464.jpg"" width=""160"" >",clothing~dresses~day dresses,"<img src=""../../datasets/fashion-outfits/images/16/55/45/49/16554549.jpg"" width=""160"" >"
 Description : high - waisted flared trousers. Gender : women. Brand : giambattista valli. Materials : viscose Elastane. ,clothing~trousers~n/d,"<img src=""../../datasets/fashion-outfits/images/16/29/91/23/16299123.jpg"" width=""160"" >",clothing~trousers~flared trousers,"<img src=""../../datasets/fashion-outfits/images/15/99/70/69/15997069.jpg"" width=""160"" >"
 Description : puff - sleeve evening gown. Gender : women. Brand : maria lucia hohan. Materials : Silk Spandex / Elastane N ,clothing~dresses~n/d,"<img src=""../../datasets/fashion-outfits/images/16/40/62/43/16406243.jpg"" width=""160"" >",clothing~dresses~evening dresses,"<img src=""../../datasets/fashion-outfits/images/18/23/78/36/18237836.jpg"" width=""160"" >"
 Description : chest logo - print sweatshirt. Gender : men. Brand : john richmond. Materials : Cotton. ,clothing~sweaters & knitwear~n/d,"<img src=""../../datasets/fashion-outfits/images/16/43/18/72/16431872.jpg"" width=""160"" >",clothing~sweaters & knitwear~sweatshirts,"<img src=""../../datasets/fashion-outfits/images/17/81/10/65/17811065.jpg"" width=""160"" >"
 Description : Mission Performance jacket. Gender : women. Brand : sweaty betty. Materials : Polyester. ,activewear~performance jackets~performance track jackets,"<img src=""../../datasets/fashion-outfits/images/16/17/95/59/16179559.jpg"" width=""160"" >",activewear~performance jackets~lightweight jackets,"<img src=""../../datasets/fashion-outfits/images/16/18/77/87/16187787.jpg"" width=""160"" >"
 Description : Phone snap - button cardigan. Gender : women. Brand : agnès b.. Materials : Cotton. ,clothing~tops~cardigans,"<img src=""../../datasets/fashion-outfits/images/17/97/10/99/17971099.jpg"" width=""160"" >",clothing~knitwear~cardigans,"<img src=""../../datasets/fashion-outfits/images/17/35/66/74/17356674.jpg"" width=""160"" >"
 Description : sleevelees mid - length coat. Gender : women. Brand : joseph. Materials : Cotton viscose. ,clothing~jackets~n/d,"<img src=""../../datasets/fashion-outfits/images/16/33/98/52/16339852.jpg"" width=""160"" >",clothing~coats~single breasted coats,"<img src=""../../datasets/fashion-outfits/images/17/18/24/16/17182416.jpg"" width=""160"" >"
 Description : pussy - bow puff - sleeve blouse. Gender : women. Brand : aspesi. Materials : Silk. ,clothing~tops~n/d,"<img src=""../../datasets/fashion-outfits/images/16/44/82/18/16448218.jpg"" width=""160"" >",clothing~tops~blouses,"<img src=""../../datasets/fashion-outfits/images/17/14/03/03/17140303.jpg"" width=""160"" >"
 Description : V - neck pouch - pocket cardigan. Gender : women. Brand : p. a. r. o. s. h.. Materials : Cotton Pol ,clothing~tops~cardigans,"<img src=""../../datasets/fashion-outfits/images/17/97/10/99/17971099.jpg"" width=""160"" >",clothing~knitwear~cardigans,"<img src=""../../datasets/fashion-outfits/images/17/35/66/74/17356674.jpg"" width=""160"" >"
 Description : logo embroidered shirt. Gender : women. Brand : polo ralph lauren. Materials : Linen / Flax. ,clothing~tops~n/d,"<img src=""../../datasets/fashion-outfits/images/16/44/82/18/16448218.jpg"" width=""160"" >",clothing~tops~shirts,"<img src=""../../datasets/fashion-outfits/images/16/52/07/73/16520773.jpg"" width=""160"" >"
 Description : fine - knit long - sleeve cardigan. Gender : women. Brand :'s max mara ( vip ). Materials : viscose Spa ,clothing~tops~cardigans,"<img src=""../../datasets/fashion-outfits/images/17/97/10/99/17971099.jpg"" width=""160"" >",clothing~knitwear~cardigans,"<img src=""../../datasets/fashion-outfits/images/17/35/66/74/17356674.jpg"" width=""160"" >"
 Description : single - breasted notch lapels blazer. Gender : men. Brand : manuel ritz. Materials : viscose Wool Acetate Spande ,clothing~jackets~n/d,"<img src=""../../datasets/fashion-outfits/images/16/33/98/52/16339852.jpg"" width=""160"" >",clothing~jackets~blazers,"<img src=""../../datasets/fashion-outfits/images/16/70/19/25/16701925.jpg"" width=""160"" >"
 Description : logo - print cotton sweatshirt. Gender : men. Brand : versace jeans couture. Materials : Cotton. ,clothing~sweaters & knitwear~n/d,"<img src=""../../datasets/fashion-outfits/images/16/43/18/72/16431872.jpg"" width=""160"" >",clothing~sweaters & knitwear~sweatshirts,"<img src=""../../datasets/fashion-outfits/images/17/81/10/65/17811065.jpg"" width=""160"" >"
 Description : Humprey slogan - print hoodie. Gender : men. Brand : john richmond. Materials : Cotton. ,clothing~sweaters & knitwear~n/d,"<img src=""../../datasets/fashion-outfits/images/16/43/18/72/16431872.jpg"" width=""160"" >",clothing~sweaters & knitwear~hoodies,"<img src=""../../datasets/fashion-outfits/images/16/28/15/27/16281527.jpg"" width=""160"" >"
 Description : tie - fastening long - length cardigan. Gender : women. Brand : m missoni. Materials : Polyamide Polyester viscose. ,clothing~tops~cardigans,"<img src=""../../datasets/fashion-outfits/images/17/97/10/99/17971099.jpg"" width=""160"" >",clothing~knitwear~cardigans,"<img src=""../../datasets/fashion-outfits/images/17/35/66/74/17356674.jpg"" width=""160"" >"
 Description : Over cotton t - shirt. Gender : men. Brand : ksubi. Materials : Cotton. ,clothing~t-shirts & vests~n/d,"<img src=""../../datasets/fashion-outfits/images/16/27/78/49/16277849.jpg"" width=""160"" >",clothing~t-shirts & vests~t-shirts,"<img src=""../../datasets/fashion-outfits/images/18/19/56/34/18195634.jpg"" width=""160"" >"
 Description : Peri tiered minidress. Gender : women. Brand : honorine. Materials : Cotton. ,clothing~dresses~beach dresses,"<img src=""../../datasets/fashion-outfits/images/15/65/44/64/15654464.jpg"" width=""160"" >",clothing~beachwear~beach dresses,"<img src=""../../datasets/fashion-outfits/images/17/78/67/50/17786750.jpg"" width=""160"" >"
 Description : panelled logo - print track jacket. Gender : women. Brand : adidas. Materials : Recycled Polyester Recycled Polyamide. ,activewear~performance jackets~performance track jackets,"<img src=""../../datasets/fashion-outfits/images/16/17/95/59/16179559.jpg"" width=""160"" >",clothing~jackets~bomber jackets,"<img src=""../../datasets/fashion-outfits/images/17/87/75/10/17877510.jpg"" width=""160"" >"
 Description : long - sleeved knitted cardigan. Gender : women. Brand : andrea bogosian. Materials : Polyester Polyamide viscose ,clothing~tops~cardigans,"<img src=""../../datasets/fashion-outfits/images/17/97/10/99/17971099.jpg"" width=""160"" >",clothing~knitwear~cardigans,"<img src=""../../datasets/fashion-outfits/images/17/35/66/74/17356674.jpg"" width=""160"" >"
 Description : New Copyright T - shirt. Gender : men. Brand : balenciaga ( vip ). Materials : Cotton. ,clothing~t-shirts & vests~n/d,"<img src=""../../datasets/fashion-outfits/images/16/27/78/49/16277849.jpg"" width=""160"" >",clothing~t-shirts & vests~t-shirts,"<img src=""../../datasets/fashion-outfits/images/18/19/56/34/18195634.jpg"" width=""160"" >"
 Description : logo - print cotton sweatshirt. Gender : men. Brand : a. p. c.. Materials : Cotton. ,clothing~sweaters & knitwear~n/d,"<img src=""../../datasets/fashion-outfits/images/16/43/18/72/16431872.jpg"" width=""160"" >",clothing~sweaters & knitwear~sweatshirts,"<img src=""../../datasets/fashion-outfits/images/17/81/10/65/17811065.jpg"" width=""160"" >"
 Description : V - neck wool dress. Gender : women. Brand : polo ralph lauren. Materials : Wool. ,clothing~dresses~n/d,"<img src=""../../datasets/fashion-outfits/images/16/40/62/43/16406243.jpg"" width=""160"" >",clothing~knitwear~knitted dresses,"<img src=""../../datasets/fashion-outfits/images/18/17/92/79/18179279.jpg"" width=""160"" >"
 Description : high - rise tapered trousers. Gender : women. Brand : han kjøbenhavn. Materials : Fabric. ,clothing~trousers~n/d,"<img src=""../../datasets/fashion-outfits/images/16/29/91/23/16299123.jpg"" width=""160"" >",clothing~trousers~tapered trousers,"<img src=""../../datasets/fashion-outfits/images/17/11/11/48/17111148.jpg"" width=""160"" >"
 Description : paisley print logo T - shirt. Gender : men. Brand : etro. Materials : Cotton Polyester. ,clothing~t-shirts & vests~n/d,"<img src=""../../datasets/fashion-outfits/images/16/27/78/49/16277849.jpg"" width=""160"" >",clothing~t-shirts & vests~t-shirts,"<img src=""../../datasets/fashion-outfits/images/18/19/56/34/18195634.jpg"" width=""160"" >"
 Description : stripe - pattern pompom - trim jumper. Gender : men. Brand : jw anderson. Materials : Recycled Polyester. ,clothing~sweaters & knitwear~n/d,"<img src=""../../datasets/fashion-outfits/images/16/43/18/72/16431872.jpg"" width=""160"" >",clothing~sweaters & knitwear~jumpers,"<img src=""../../datasets/fashion-outfits/images/16/83/55/88/16835588.jpg"" width=""160"" >"
 Description : Rooster - print zip - up jacket. Gender : women. Brand : rossignol. Materials : Polyester. ,activewear~performance jackets~performance track jackets,"<img src=""../../datasets/fashion-outfits/images/16/17/95/59/16179559.jpg"" width=""160"" >",clothing~coats~trench & raincoats,"<img src=""../../datasets/fashion-outfits/images/17/34/32/41/17343241.jpg"" width=""160"" >"
 Description : Africana - print beach dress. Gender : women. Brand : emilio pucci. Materials : viscose. ,clothing~dresses~beach dresses,"<img src=""../../datasets/fashion-outfits/images/15/65/44/64/15654464.jpg"" width=""160"" >",clothing~beachwear~beach dresses,"<img src=""../../datasets/fashion-outfits/images/17/78/67/50/17786750.jpg"" width=""160"" >"
 Description : stripe - print trousers. Gender : women. Brand : fabiana filippi. Materials : Linen / Flax Polyester Cotton. ,clothing~trousers~n/d,"<img src=""../../datasets/fashion-outfits/images/16/29/91/23/16299123.jpg"" width=""160"" >",clothing~trousers~straight trousers,"<img src=""../../datasets/fashion-outfits/images/15/87/55/81/15875581.jpg"" width=""160"" >"
 Description : Beniras halterneck dress. Gender : women. Brand : cloe cassandro. Materials : Rayon Silk. ,clothing~dresses~beach dresses,"<img src=""../../datasets/fashion-outfits/images/15/65/44/64/15654464.jpg"" width=""160"" >",clothing~dresses~cocktail & party dresses,"<img src=""../../datasets/fashion-outfits/images/17/28/54/12/17285412.jpg"" width=""160"" >"
 Description : heart - appliqué knitted cardigan. Gender : men. Brand : doublet. Materials : Cotton. ,clothing~sweaters & knitwear~n/d,"<img src=""../../datasets/fashion-outfits/images/16/43/18/72/16431872.jpg"" width=""160"" >",clothing~sweaters & knitwear~cardigans,"<img src=""../../datasets/fashion-outfits/images/16/30/43/45/16304345.jpg"" width=""160"" >"
 Description : side - button layered knitted T - shirt. Gender : men. Brand : solid homme. Materials : Cotton Polyester. ,clothing~sweaters & knitwear~n/d,"<img src=""../../datasets/fashion-outfits/images/16/43/18/72/16431872.jpg"" width=""160"" >",clothing~t-shirts & vests~t-shirts,"<img src=""../../datasets/fashion-outfits/images/18/19/56/34/18195634.jpg"" width=""160"" >"
 Description : logo - print vest top. Gender : women. Brand : balmain. Materials : Cotton. ,clothing~tops~n/d,"<img src=""../../datasets/fashion-outfits/images/16/44/82/18/16448218.jpg"" width=""160"" >",clothing~tops~vests & tank tops,"<img src=""../../datasets/fashion-outfits/images/16/54/93/35/16549335.jpg"" width=""160"" >"
 Description : Petra beach cover - up dress. Gender : women. Brand : melissa odabash. Materials : Polyester. ,clothing~dresses~beach dresses,"<img src=""../../datasets/fashion-outfits/images/15/65/44/64/15654464.jpg"" width=""160"" >",clothing~beachwear~beach dresses,"<img src=""../../datasets/fashion-outfits/images/17/78/67/50/17786750.jpg"" width=""160"" >"
 Description : Solar System long - sleeved t - shirt. Gender : men. Brand : stussy. Materials : Cotton. ,clothing~t-shirts & vests~n/d,"<img src=""../../datasets/fashion-outfits/images/16/27/78/49/16277849.jpg"" width=""160"" >",clothing~t-shirts & vests~t-shirts,"<img src=""../../datasets/fashion-outfits/images/18/19/56/34/18195634.jpg"" width=""160"" >"
 Description : colour - block zip - up track jacket. Gender : women. Brand : isabel marant. Materials : Polyester Cotton Recycled Pol ,activewear~performance jackets~performance track jackets,"<img src=""../../datasets/fashion-outfits/images/16/17/95/59/16179559.jpg"" width=""160"" >",clothing~jackets~fitted jackets,"<img src=""../../datasets/fashion-outfits/images/17/81/04/47/17810447.jpg"" width=""160"" >"
 Description : structured - mercerised cotton T - shirt. Gender : men. Brand : boss hugo boss ( do not use ). Materials : Cotton. ,clothing~t-shirts & vests~n/d,"<img src=""../../datasets/fashion-outfits/images/16/27/78/49/16277849.jpg"" width=""160"" >",clothing~t-shirts & vests~t-shirts,"<img src=""../../datasets/fashion-outfits/images/18/19/56/34/18195634.jpg"" width=""160"" >"
 Description : Sublime Flower - print beach dress. Gender : women. Brand : louisa ballou. Materials : Elastane Polyester. ,clothing~dresses~beach dresses,"<img src=""../../datasets/fashion-outfits/images/15/65/44/64/15654464.jpg"" width=""160"" >",clothing~beachwear~beach dresses,"<img src=""../../datasets/fashion-outfits/images/17/78/67/50/17786750.jpg"" width=""160"" >"
 Description : logo - print T - shirt. Gender : men. Brand : comme des garçons play. Materials : Cotton. ,clothing~t-shirts & vests~n/d,"<img src=""../../datasets/fashion-outfits/images/16/27/78/49/16277849.jpg"" width=""160"" >",clothing~t-shirts & vests~t-shirts,"<img src=""../../datasets/fashion-outfits/images/18/19/56/34/18195634.jpg"" width=""160"" >"
 Description : Lola dress. Gender : women. Brand : acler. Materials : Cotton. ,clothing~dresses~n/d,"<img src=""../../datasets/fashion-outfits/images/16/40/62/43/16406243.jpg"" width=""160"" >",clothing~dresses~day dresses,"<img src=""../../datasets/fashion-outfits/images/16/55/45/49/16554549.jpg"" width=""160"" >"
 Description : Prime stow jacket. Gender : men. Brand : maap. Materials : Polyamide Elastane Nylon Polyester. ,activewear~performance jackets~performance track jackets,"<img src=""../../datasets/fashion-outfits/images/16/17/95/59/16179559.jpg"" width=""160"" >",activewear~performance jackets~lightweight jackets,"<img src=""../../datasets/fashion-outfits/images/16/18/77/87/16187787.jpg"" width=""160"" >"
 Description : butterfly - print dress. Gender : women. Brand : temperley london. Materials : Cotton viscose. ,clothing~dresses~n/d,"<img src=""../../datasets/fashion-outfits/images/16/40/62/43/16406243.jpg"" width=""160"" >",clothing~dresses~evening dresses,"<img src=""../../datasets/fashion-outfits/images/18/23/78/36/18237836.jpg"" width=""160"" >"
 Description : geometric print kaftan dress. Gender : women. Brand : etro. Materials : Silk Cotton. ,clothing~dresses~beach dresses,"<img src=""../../datasets/fashion-outfits/images/15/65/44/64/15654464.jpg"" width=""160"" >",clothing~beachwear~beach dresses,"<img src=""../../datasets/fashion-outfits/images/17/78/67/50/17786750.jpg"" width=""160"" >"
 Description : hooded puffer jacket. Gender : men. Brand : polo ralph lauren. Materials : Acrylic Modacrylic Polyester ,clothing~jackets~n/d,"<img src=""../../datasets/fashion-outfits/images/16/33/98/52/16339852.jpg"" width=""160"" >",clothing~jackets~padded & down jackets,"<img src=""../../datasets/fashion-outfits/images/17/30/98/06/17309806.jpg"" width=""160"" >"
 Description : crepe - chiffon blouse. Gender : women. Brand : antonelli. Materials : Acetate Silk. ,clothing~tops~n/d,"<img src=""../../datasets/fashion-outfits/images/16/44/82/18/16448218.jpg"" width=""160"" >",clothing~tops~blouses,"<img src=""../../datasets/fashion-outfits/images/17/14/03/03/17140303.jpg"" width=""160"" >"
 Description : button - up knitted cardigan. Gender : women. Brand : b + ab. Materials : Acrylic Polyamide Polyester. ,clothing~tops~cardigans,"<img src=""../../datasets/fashion-outfits/images/17/97/10/99/17971099.jpg"" width=""160"" >",clothing~knitwear~cardigans,"<img src=""../../datasets/fashion-outfits/images/17/35/66/74/17356674.jpg"" width=""160"" >"
 Description : Valentine flowers printed T - shirt. Gender : men. Brand : kenzo. Materials : Cotton. ,clothing~t-shirts & vests~n/d,"<img src=""../../datasets/fashion-outfits/images/16/27/78/49/16277849.jpg"" width=""160"" >",clothing~t-shirts & vests~t-shirts,"<img src=""../../datasets/fashion-outfits/images/18/19/56/34/18195634.jpg"" width=""160"" >"
